id, party, fname, gname, address, dob
0,B,Dimitrios,Hübner,81379 Muenchen,17.12.1974
1,B,Annette,Gert,41189 gladbach,16.03.1971
2,B,Rut,Schroeder,42899 Remscheid,11.06.1953
3,B,Alexander,Berg,45894 Gelsenkirchen,26.11.1962
4,B,Bernhard,Schumacher,52538 Selfkant,10.03.1968
5,B,Carmen,Raschke,82547,12.10.1949
6,B,Ute,Neumann,66539 Neunkirchen,12.02.1954
7,B,Heinz,Becker,42781 Haan,03.01.1980
8,B,Elmar,Jahn,44625 Herne,08.11.1965
9,B,Ilka,Sieg,12559 Berlin,16.03.1986
10,B,Ferdinand,Wahl,12587,31.10.1951
11,B,Chris,Baumann,22844 Norderstedt,08.09.2003
12,B,Dagmar,Winter,49681 Garrel,26.01.1959
13,B,Hartmut,Eichler,59199 Boenen,18.01.1966
14,B,Melanie,Kupf,46144 Oberhausen,22.11.1940
15,B,Gerda,Doerner,12687 Berlin,13.08.1936
16,B,Mani,Pesch,48249 Dülmen,10.09.1940
17,B,Barbara,Marx,85356 Freising,02.07.1932
18,B,Michl,Wunderich,26419 Schortens,30.04.1926
19,B,Dietrich,Doerner,02923 Neisseaue,17.06.1986
