id, party, fname, gname, address, dob
0,A,Dimitrios,Huebner,81379 Muenchen,17.12.1974
1,A,Annette,Gerth,41189 Moenchengladbach,16.03.1971
2,A,Ruth,Schroeder,42899 Remscheid,11.06.1953
3,A,Alexander,Bergner,45894 Gelsenkirchen,26.11.1962
4,A,Bernhard,Schumacher,52538 Selfkant,10.03.1968
5,A,Carmen,Raschke,82547 Eurasburg,12.10.1949
6,A,Ute,Neumann,66539 Neunkirchen/Saar,12.02.1954
7,A,Heinz,Becker,42781 Haan,03.01.1980
8,A,Elmar,Jahn,44625 Herne,08.11.1965
9,A,Ilka,Sieg,12559 Berlin,16.03.1986
10,A,Ferdinand,Wahl,12587 Berlin,31.10.1951
11,A,Christian,Baumann,22844 Norderstedt,08.09.2003
12,A,Dagmar,Winter,49681 Garrel,26.01.1959
13,A,Hartmut,Eichler,59199 Boenen,18.01.1966
14,A,Melanie,Kupfer,46147 Oberhausen,22.11.1940
15,A,Gerda,Doerner,12687 Berlin,13.08.1936
16,A,Manfred,Pesch,48249 Duelmen,10.09.1940
17,A,Barbara,Marx,85356 Freising,02.07.1932
18,A,Michael,Wunderlich,26419 Schortens,30.04.1926
19,A,Dietrich,Doerner,02923 Neisseaue,17.06.1986
